"","X.1","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.2.x","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X.2.y","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"71",71,"Leicester","Chelsea",71,1003,631,71,2,0,1,1,0,0,1,2,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"72",72,"Leicester","Chelsea",72,1003,631,72,2,0,1,1,0,0,1,2,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"73",73,"Leicester","Chelsea",73,1003,631,73,2,0,1,1,0,0,1,2,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"74",74,"Leicester","Chelsea",74,1003,631,74,2,0,1,1,0,0,1,2,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"75",75,"Leicester","Chelsea",75,1003,631,75,2,0,1,1,0,0,1,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"76",76,"Leicester","Chelsea",76,1003,631,76,2,0,1,1,0,0,1,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"77",77,"Leicester","Chelsea",77,1003,631,77,2,0,1,1,0,0,1,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"78",78,"Leicester","Chelsea",78,1003,631,78,2,0,1,1,0,0,1,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"79",79,"Leicester","Chelsea",79,1003,631,79,2,0,1,1,0,0,1,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"80",80,"Leicester","Chelsea",80,1003,631,80,2,0,1,1,0,0,1,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"81",81,"Leicester","Chelsea",81,1003,631,81,3,0,1,1,0,0,1,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"82",82,"Leicester","Chelsea",82,1003,631,82,3,0,1,1,0,0,2,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"83",83,"Leicester","Chelsea",83,1003,631,83,3,0,1,1,0,0,3,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"84",84,"Leicester","Chelsea",84,1003,631,84,3,0,1,1,0,0,3,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"85",85,"Leicester","Chelsea",85,1003,631,85,3,0,1,1,0,0,3,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"86",86,"Leicester","Chelsea",86,1003,631,86,3,0,1,1,0,0,3,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"87",87,"Leicester","Chelsea",87,1003,631,87,3,0,1,1,0,0,3,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"88",88,"Leicester","Chelsea",88,1003,631,88,3,0,1,1,0,0,3,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"89",89,"Leicester","Chelsea",89,1003,631,89,3,0,1,1,0,0,3,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"90",90,"Leicester","Chelsea",90,1003,631,90,3,0,1,1,0,0,3,3,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
